"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL1209905_CHEMBL1210842","CC(C)C(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12","CC(C)OC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12",0.95384615,2.13," 7.92","46.1499961541669"
"CHEMBL160257_CHEMBL157344","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)C1(C)C",1,2.09," 7.24","209"
"CHEMBL160257_CHEMBL165219","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C1(C)C",0.95348837,2.17," 7.32","46.6549979005251"
"CHEMBL1957611_CHEMBL1957612","Cc1nn(-c2ccc(C#N)cc2)c(C)c1Cc1ccc(F)cc1","Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(F)cc1",0.97297297,3.17," 9.33","117.289987098102"
"CHEMBL1957614_CHEMBL1957612","Cc1nn(-c2ccc(C#N)cc2Cl)c(C)c1Cc1ccc(F)cc1","Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(F)cc1",1,3.51," 9.33","351"
"CHEMBL235378_CHEMBL391548","N#Cc1ccc(-c2ccc(O)cc2)cc1C(F)(F)F","N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F",1,2.78,"10.70","278"
"CHEMBL3238294_CHEMBL3233069","COc1cc(Cl)ccc1OC[C@](C)(O)C(=O)N1CCc2c(C#N)cccc21","COc1ccc(OC[C@](C)(O)C(=O)N2CCc3c(C#N)cccc32)c(Cl)c1",1,2.02," 8.46","202"
"CHEMBL3238295_CHEMBL3233069","COc1ccc(OC[C@](C)(O)C(=O)N2CCc3c(C#N)cccc32)c(F)c1","COc1ccc(OC[C@](C)(O)C(=O)N2CCc3c(C#N)cccc32)c(Cl)c1",0.96969697,2.09," 8.46","68.9700006897"
"CHEMBL3238295_CHEMBL3238292","COc1ccc(OC[C@](C)(O)C(=O)N2CCc3c(C#N)cccc32)c(F)c1","C[C@](O)(COc1ccc(C#N)cc1F)C(=O)N1CCc2c(C#N)cccc21",0.95384615,2.12," 8.49","45.9333295055558"
"CHEMBL348918_CHEMBL351519","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","C[C@H]1Nc2cc3c(cc2C1(C)C)c(C(F)(F)F)cc(=O)n3C",0.95652174,2.62," 7.66","60.2600012052"
"CHEMBL3695597_CHEMBL3658376","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","C[C@]12CCC3C4CCC(=O)C=C4CCC3C1C1CC1[C@@]21CCC(=O)O1",0.97142857,3.22," 8.22","112.699994365"
"CHEMBL3695597_CHEMBL3658382","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","C[C@]12CCC3C4CCC(=O)C=C4C4(CC4)CC3C1C1CC1[C@@]21CCC(=O)O1",0.97142857,2.58," 7.58","90.2999954850004"
"CHEMBL3695597_CHEMBL3695614","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4C4(CC4)C[C@H]3[C@@H]1CC[C@@]21C=CC(=O)O1",0.97142857,2.43," 7.43","85.0499957475004"
"CHEMBL369979_CHEMBL392000","C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O","C=CC[C@@H]1C2=CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@@]2(C=C)CC[C@@H]1O",1,2.07," 7.82","207"
"CHEMBL369991_CHEMBL382097","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","CC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12",1,2.06," 7.48","206"
"CHEMBL391549_CHEMBL391548","N#Cc1ccc(-c2cccc(O)c2)cc1C(F)(F)F","N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F",1,4.06,"10.70","406"
"CHEMBL4082265_CHEMBL4077666","C[C@@H]1[C@H](O)C(C)(C)C(=O)N1c1ccc(C#N)c(Cl)c1","C[C@H]1[C@@H](O)C(C)(C)C(=O)N1c1ccc(C#N)c(Cl)c1",1,2.67," 7.85","267"
"CHEMBL443579_CHEMBL235159","COc1cccc(-c2ccc(C#N)c(C(F)(F)F)c2)c1","COc1ccc(-c2ccc(C#N)c(C(F)(F)F)c2)cc1",1,3.08," 9.10","308"
