"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL1209905_CHEMBL1209903","CC(C)C(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12","CCCN1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12",0.98601399,2.06," 7.85","147.290041977662"
"CHEMBL1209905_CHEMBL1210842","CC(C)C(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12","CC(C)OC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12",0.95973154,2.13," 7.92","52.8949952394505"
"CHEMBL1210841_CHEMBL1210908","C[C@@]12O[C@@](C)(C(=O)N(CC3CC3)C1=O)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12","CC(C)N1C(=O)[C@@]2(C)O[C@@](C)(C1=O)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12",0.98039216,2.02," 7.50","103.020016483202"
"CHEMBL1210843_CHEMBL1210908","CC(C)[N+]1([O-])C(=O)[C@@]2(C)O[C@@](C)(C1=O)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12","CC(C)N1C(=O)[C@@]2(C)O[C@@](C)(C1=O)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12",0.98051948,2.2," 7.50","112.933330321778"
"CHEMBL1509_CHEMBL3658376","C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C","C[C@]12CCC3C4CCC(=O)C=C4CCC3C1C1CC1[C@@]21CCC(=O)O1",0.97619048,2.02," 8.22","84.8400135744021"
"CHEMBL160257_CHEMBL156142","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21",1,2.43," 7.58","243"
"CHEMBL160257_CHEMBL156982","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21",1,2.42," 7.57","242"
"CHEMBL160257_CHEMBL157344","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)C1(C)C",0.9875,2.09," 7.24","167.200000000001"
"CHEMBL160257_CHEMBL157703","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(O)nc1c2C",0.99367089,2.49," 7.64","393.42024392055"
"CHEMBL160257_CHEMBL160250","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCC1(CC)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.99367089,2.42," 7.57","382.360237063345"
"CHEMBL160257_CHEMBL160451","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1=CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21",0.99367089,2.4," 7.55","379.200235104144"
"CHEMBL160257_CHEMBL160665","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C",1,2.37," 7.52","237"
"CHEMBL160257_CHEMBL160713","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.99367089,2.23," 7.38","352.340218450934"
"CHEMBL160257_CHEMBL2113247","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@@H]1CNc2cc3nc(O)cc(C(F)(F)F)c3cc2[C@@H]1CCC(F)(F)F",0.96319018,2.05," 7.20","55.691660540584"
"CHEMBL160257_CHEMBL2113248","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC(C)C[C@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C",0.9691358,2.39," 7.54","77.4359938051205"
"CHEMBL160257_CHEMBL267141","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.95092025,2.57," 7.72","52.363754909102"
"CHEMBL160257_CHEMBL267850","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC(C)[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.96319018,2.45," 7.60","66.5583260119175"
"CHEMBL160257_CHEMBL268326","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21",0.95705521,2.67," 7.82","62.1728503038437"
"CHEMBL160257_CHEMBL268569","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.95705521,2.35," 7.50","54.7214225520721"
"CHEMBL160257_CHEMBL281945","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@H]1CNc2cc3nc(O)cc(C(F)(F)F)c3cc2C1CCC(F)(F)F",0.96319018,2.06," 7.21","55.9633271773674"
"CHEMBL160257_CHEMBL286684","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NCCC3",0.95061728,2.77," 7.92","56.0924955126004"
"CHEMBL160257_CHEMBL345854","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC1(CCCCC1)CC3",0.975,2.31," 7.46","92.3999999999999"
"CHEMBL160257_CHEMBL346487","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1=CC(C)(C)Nc2cc3nc(O)cc(C)c3cc21",0.96835443,2.29," 7.44","72.363999131632"
"CHEMBL160257_CHEMBL347910","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","Cc1c2c(cc3c(C(F)(F)F)cc(O)nc13)C(C)CC(C)(C)N2",1,2.51," 7.66","251"
"CHEMBL160257_CHEMBL349539","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1=C(C)C(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21",0.98734177,2.02," 7.17","159.579972871405"
"CHEMBL160257_CHEMBL350465","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C",1,2.19," 7.34","219"
"CHEMBL160257_CHEMBL350877","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1(C)C=Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.98113208,2.42," 7.57","128.260030782407"
"CHEMBL160257_CHEMBL351148","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.99367089,2.49," 7.64","393.42024392055"
"CHEMBL160257_CHEMBL6874","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.98734177,2.42," 7.57","191.179967499406"
"CHEMBL160257_CHEMBL6983","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C",0.95705521,2.33," 7.48","54.2557083175864"
"CHEMBL160257_CHEMBL7089","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@H]1C",0.96319018,2.67," 7.82","72.5349920211509"
"CHEMBL160257_CHEMBL7177","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.95092025,2.81," 7.96","57.2537553675396"
"CHEMBL160257_CHEMBL7455","C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C","CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@@H]1C",0.96319018,2.81," 7.96","76.3383249361176"
"CHEMBL160923_CHEMBL27297","CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(=O)n(C)c1c2C","CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C",0.975,2.08," 7.70","83.1999999999999"
"CHEMBL160923_CHEMBL435651","CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(=O)n(C)c1c2C","CN1c2cc3c(cc2CCC1(C)C)c(C(F)(F)F)cc(=O)n3C",0.97452229,2.1," 7.72","82.4249903150637"
"CHEMBL1830772_CHEMBL1830775","CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O","CCCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O",0.99275362,2.08," 8.00","287.039873702456"
"CHEMBL1830772_CHEMBL1830778","CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O","CCCC(C)N1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O",0.97857143,2.3," 8.22","107.333340488889"
