SMILES,ID
CC1CCC2C=C3C(=CC2N1)N=C(F)C=C3C(F)(F)F,novel-01
CCC1CCC2C=C3C(=CC2N1)N=C(C=C3C(F)(F)F)C#N,novel-02
CC1NC2C=C3N=C(C=C(C3=CC2C(C)C1C)C(F)(F)F)C#N,novel-03
CC1CCC2C=C3C(=CC2N1)N=C(C=C3C(F)(F)F)C#N,novel-04
CCC1C(C)C(C)NC2C=C3N=C(C=C(C3=CC12)C(F)(F)F)C#N,novel-05
CCC1CCC2C=C3C(=CC2N1)N=C(Cl)C=C3C(F)(F)F,novel-06
CCC1CCC2C=C3C(=CC2N1)N=C(F)C=C3C(F)(F)F,novel-07
CC1CCC2C=C3C(=CC2N1)N=C(Cl)C=C3C(F)(F)F,novel-08
CC1NC2C=C3N=C(F)C=C(C3=CC2C(C)C1C)C(F)(F)F,novel-09
CCC1NC2C=C3N=C(F)C=C(C3=CC2C(C)C1C)C(F)(F)F,novel-10
FC1COC2C=C3NC(=O)C=CC3=CC2N1C(F)(F)F,novel-11
CC1CC(C)C2C=C3C(=CC2N1)N(C)C(=O)C=C3C(F)(F)F,novel-12
CC1CC(C)(C)C2C=C3C(=CC2N1)N(C)C(=O)C=C3C(F)(F)F,novel-13
CCOCC1COC2C=C3NC(=O)C=C(C3=CC2N1C(F)(F)F)C(F)(F)F,novel-14
CCSCC1COC2C=C3NC(=O)C=C(C3=CC2N1C(F)(F)F)C(F)(F)F,novel-15
CC1CCC2C=C3C(OC(=O)C=C3C(F)(F)F)=CC2N1,novel-16
CC1CC(C)C2C=C3C(OC(=O)C=C3C(F)(F)F)=CC2N1,novel-17
CCCC1CCC2C=C3C(OC(=O)C=C3C(F)(F)F)=CC2N1,novel-18
CC1CC(C2C=C3C(OC(=O)C=C3C(F)(F)F)=CC2N1)C(F)(F)F,novel-19
CC1(C)CC(C2C=C3C(OC(=O)C=C3C(F)(F)F)=CC2N1)C(F)(F)F,novel-20
CC1(C)N(C(=S)N(C1=O)C1=CC(=C(C=C1)C#N)C(F)(F)F)C1=CC(=C(C=C1)C(=O)NCOCCCC(=O)NO)S(N)(=O)=O,novel-21
CC1(C)N(C(=S)N(C1=O)C1=CC(=C(C=C1)C#N)C(F)(F)F)C1=CC(F)=C(C=C1)C(=O)COCCCCC(=O)NO,novel-22
CC1(C)N(C(=S)N(C1=O)C1=CC(=C(C=C1)C#N)C(F)(F)F)C1=CC(F)=C(C=C1)C(=O)CCNCOCC(=O)NO,novel-23
CC1(C)N(C(=S)N(C1=O)C1=CC(=C(C=C1)C#N)C(F)(F)F)C1=CC(F)=C(C=C1)C(=O)CCOCCCC(=O)NO,novel-24
CC1(C)N(C(=S)N(C1=O)C1=CC(=C(C=C1)C#N)C(F)(F)F)C1=CC(=C(C=C1)C(=O)OCCCCCC(=O)NO)S(N)(=O)=O,novel-25
CC12CC(O)C(C)(O1)[C@@H]1C(O)N([C@H](O)C21)C1=CC(F)=C(C=C1)C#N,novel-26
CC12CC(O)C(C)(O1)[C@@H]1C(O)N([C@H](O)C21)C1=CC(Cl)=C(C=C1)C#N,novel-27
CC12CC(O)C(C)(O1)[C@@H]1C(O)N([C@H](O)C21)C1=CC(=C(C=C1)C#N)C(F)(F)F,novel-28
CC12CC(O)C(C)(O1)[C@@H]1C(O)N([C@H](O)C21)C1=CC(Br)=C(C=C1)C#N,novel-29
CC12CC(O)C(C)(O1)[C@@H]1C(O)N([C@H](O)C21)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,novel-30
C[C@@]12CC(N)[C@](C)(O1)[C@H]1C2C(=O)N(C1=O)C1=CC=C(C#N)C(I)=C1,novel-31
CC(C)NC(=O)N[C@@H]1C[C@]2(C)O[C@]1(C)C1[C@H]2C(=O)N(C1=O)C1=CC=C(C#N)C(I)=C1,novel-32
CCS(=O)(=O)NC1C[C@]2(C)O[C@]1(C)[C@H]1C2C(=O)N(C1=O)C1=CC=C(C#N)C(I)=C1,novel-33
C[C@@]12C[C@@H](NS(C)(=O)=O)[C@](C)(O1)[C@H]1C2C(=O)N(C1=O)C1=CC=C(C#N)C(I)=C1,novel-34
CC(C)OC(=O)C1C[C@]2(C)O[C@]1(C)C1[C@@H]2C(=O)N(C1=O)C1=CC=C(C#N)C(I)=C1,novel-35
CCCCC1=CC(=O)NC2C=CC(=CC12)N(CC(F)(F)F)CC(F)(F)F,novel-36
NC1=CC2NC(=O)C=C(C2C=C1N(CC(F)(F)F)CC(F)(F)F)C(F)(F)F,novel-37
CNC1=CC2NC(=O)C=C(C2C=C1N(CC(F)(F)F)CC(F)(F)F)C(F)(F)F,novel-38
CCCNC1=CC2NC(=O)C=C(C2C=C1N(CC(F)(F)F)CC(F)(F)F)C(F)(F)F,novel-39
